block,depth seed,compression ratio,valid loss,train loss
3,256,0.25,0.024263484636321664,0.024758208356797696
3,128,0.5,0.02894074679352343,0.029559418714294832
4,256,1.0,0.02400371115654707,0.024260219434897104
3,64,1.0,0.026060979440808298,0.026454323281844456
3,32,2.0,0.02610865035094321,0.026524274547894796
4,128,2.0,0.03014512131921947,0.030706248618662356
4,64,4.0,0.02617019657045603,0.02656253135452668
3,16,4.0,0.03070994154550135,0.03131385448699196
5,256,4.0,0.0399961615446955,0.03899329286068678
4,32,8.0,0.03732993802987039,0.0378458892305692
5,128,8.0,0.04478943226858974,0.04601208797345559
5,64,16.0,0.06471050111576915,0.06285771106680234
4,16,16.0,0.0659077868796885,0.06508049902816614
6,256,16.0,0.10705631542950869,0.10575884605447451
5,32,32.0,0.07256136024370789,0.07089761358996233
6,128,32.0,0.10220308788120747,0.10761959031224251
6,64,64.0,0.10061244126409292,0.1032469713439544
5,16,64.0,0.10450939256697893,0.10137609951198101
7,256,64.0,0.2827369675040245,0.28902334744731584
6,32,128.0,0.11185392588377,0.11485375501215458
7,128,128.0,0.21795737110078334,0.22721924781799316
6,16,256.0,0.28279273845255376,0.2890652544796467
